Name,Nom_couran,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,TOTAL_ha
MOULAY ABDELKADER,,1095.933630722501,1095.933630722501,1095.9336307225008,630.1480459681014,279.35859198014805,1259.3575372703285,1259.3575372703285,1259.3575372703285,1259.3575372703283,548.7858240447639,108.11009546110262,904.8923657269286,904.8923657269288,904.8923657269286,904.8923657269286,345.81398734603573,301.0615578929826,1267.008890506472,1267.008890506472,1267.008890506472,1267.008890506472,19226.114168875552
OULAD NOUEL,,848.3656207706707,848.3656207706707,848.3656207706705,754.7326377306412,274.86819275152476,1305.844984486443,1305.844984486443,1305.844984486443,1305.844984486443,416.2668700416595,130.52426616986446,677.292671226639,677.2926712266391,677.2926712266391,677.292671226639,890.8978836942306,654.3831781325516,1384.399244245773,1384.399244245773,1384.399244245773,1384.3992442457727,19136.917490667904
SEFSAF,,251.3715911289111,251.37159112891104,251.37159112891098,374.4983469032796,220.91086543169808,220.91086543169808,220.91086543169808,220.91086543169803,220.91086543169808,270.26936906606636,263.04394573375026,263.04394573375026,263.04394573375026,263.04394573375026,263.0439457337503,1868.9384975924029,2595.4362451869824,2595.4362451869824,2595.436245186982,2595.436245186982,2595.4362451869824,18664.776268710633
DAR BEL AMRI,,1528.8241343949626,1528.8241343949624,1528.8241343949624,1304.8860529101319,615.0821067177925,714.6088831825406,714.6088831825407,714.6088831825407,714.6088831825406,544.9396241836729,714.519221637406,789.5203386488613,789.5203386488613,789.5203386488613,789.5203386488613,553.320953722977,440.17466069521436,507.4587115944777,507.45871159447756,507.4587115944777,507.45871159447756,16805.746756755598
HADDADA,,1504.9048361098585,1504.9048361098585,1504.9048361098585,888.4118729917161,572.7503552059278,572.7503552059279,572.7503552059279,572.7503552059279,572.750355205928,325.9097132818124,856.5224871010217,856.5224871010216,856.5224871010216,856.5224871010216,856.5224871010217,447.88717570576983,424.76093653915115,424.76093653915103,424.76093653915115,424.76093653915103,424.76093653915115,15447.092164539374
ZAGOTTA,,518.0614396904562,518.061439690456,518.061439690456,485.2628127641865,149.85482430458217,1545.37484570705,1545.37484570705,1545.37484570705,1545.37484570705,163.76659132001092,105.40814486530378,664.6367593470317,664.6367593470316,664.6367593470318,664.6367593470318,140.47854805520453,184.033524833386,605.1671390539909,605.1671390539909,605.1671390539909,605.1671390539909,14043.70374164633
TAOUGHILT,,720.3003097778081,720.3003097778081,720.3003097778081,949.2626392006907,276.1128814752556,1090.321278266027,1090.321278266027,1090.321278266027,1090.321278266027,422.8529682218784,189.90420883909937,484.94182381160965,484.94182381160965,484.94182381160965,484.94182381160965,575.3263327234963,330.2958898792102,702.7816215987862,702.781621598786,702.7816215987859,702.7816215987862,14016.834744378746
BAB TIOUKA,,494.7521731413241,494.7521731413241,494.7521731413241,603.2899685871914,246.8214614307718,1339.4108384101544,1339.4108384101544,1339.4108384101542,1339.4108384101544,258.04975394737096,158.56289646549004,604.5467377594953,604.5467377594953,604.5467377594953,604.5467377594953,204.10277007234458,186.8472524900907,553.6831024261234,553.6831024261236,553.6831024261235,553.6831024261235,13132.493336800324
MNASRA,,645.0074266209263,645.0074266209261,645.0074266209263,632.6264553846651,578.9578085617125,578.9578085617125,578.9578085617125,578.9578085617125,578.9578085617125,497.00407075538783,717.1736309299364,717.1736309299365,717.1736309299364,717.1736309299364,717.1736309299364,473.3512068672807,609.7272156548953,609.7272156548953,609.7272156548953,609.7272156548952,609.7272156548953,13067.297288602833
DAR LAASLOUJI,,465.0037072734399,465.0037072734399,465.0037072734399,419.94189733116013,217.02295542093907,421.68912203056783,421.68912203056783,421.68912203056783,421.68912203056783,375.0150973528813,354.53302232869464,413.837456042289,413.837456042289,413.8374560422889,413.8374560422889,891.9350198218132,1018.2966311111388,1218.8881497594496,1218.8881497594498,1218.8881497594496,1218.8881497594493,12889.414656516175
