Name,Nom_couran,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,TOTAL_ha
Est4,,202.66733623474116,202.66733623474116,202.66733623474119,121.0808847986558,62.87681536713245,345.0942433618643,345.09424336186424,345.0942433618643,345.09424336186424,96.89285650912414,72.30072476594813,153.72885436783136,153.72885436783136,153.72885436783136,153.72885436783136,2052.3806414170926,1606.890367233504,2320.0621600426525,2320.062160042653,2320.0621600426525,2320.0621600426525,15895.965329885075
S17,,162.22958043530033,162.22958043530033,162.22958043530033,107.36069007465437,62.98194182180367,212.71235340679092,212.71235340679092,212.71235340679092,212.71235340679092,114.23025728227205,88.69827968588437,148.5855858877025,148.5855858877025,148.58558588770248,148.5855858877025,1199.5941182878921,1032.711282370019,1256.5007213686597,1256.5007213686595,1256.5007213686597,1256.5007213686597,9563.45995348104
S7R,,90.61460616562788,90.61460616562788,90.61460616562788,100.13460515040977,70.97296280881396,70.97296280881396,70.97296280881396,70.97296280881396,70.97296280881396,114.41208274941837,113.59679686394188,113.59679686394188,113.59679686394188,113.59679686394188,113.59679686394188,647.1268079540058,1273.5620332544186,1273.5620332544186,1273.5620332544186,1273.5620332544186,1273.5620332544186,8424.17627898659
P7,,100.34531861968394,100.34531861968397,100.34531861968397,103.28868580459893,68.98509879727231,68.98509879727231,68.98509879727231,68.98509879727231,68.98509879727231,62.22436347620347,73.76918909831926,73.76918909831926,73.76918909831925,73.76918909831926,73.76918909831926,684.5823243089264,1195.2149405242203,1195.21494052422,1195.2149405242203,1195.2149405242203,1195.21494052422,7840.977471547838
S13,,57.57801201948578,57.57801201948577,57.57801201948577,57.148798638054345,39.62227898567948,43.52072980858897,43.52072980858897,43.52072980858897,43.52072980858897,40.37659812681909,39.12874837891822,41.281083673239316,41.281083673239316,41.281083673239316,41.281083673239316,1040.815345188527,1034.7426946740482,1040.187043188991,1040.187043188991,1040.187043188991,1040.187043188991,6924.523926733781
S1R,,101.12035263620416,101.12035263620416,101.12035263620416,274.9159069533166,282.5157073351094,282.5157073351094,282.5157073351094,282.5157073351094,282.5157073351094,324.2983940907557,256.47383076362166,256.47383076362166,256.47383076362166,256.47383076362166,256.47383076362166,363.5366057631548,446.20081434827625,446.20081434827625,446.20081434827625,446.20081434827625,446.20081434827625,6192.063726950877
S9,,83.13506835919549,83.13506835919546,83.13506835919549,118.51381572311101,55.58444346020267,55.584443460202685,55.58444346020267,55.58444346020267,55.58444346020267,70.01091420565736,66.24915728686761,66.24915728686761,66.24915728686763,66.24915728686761,66.24915728686763,489.31960566771255,845.3611784740016,845.3611784740016,845.3611784740016,845.3611784740016,845.3611784740016,5763.223436779426
N9,,77.87360108070524,77.87360108070521,77.87360108070521,190.99906800842288,94.28326437583773,94.28326437583773,94.28326437583773,94.28326437583773,94.28326437583773,200.486591074877,126.24541581241384,126.24541581241384,126.24541581241385,126.24541581241384,126.24541581241384,568.0812165145215,589.4066729552264,589.4066729552264,589.4066729552266,589.4066729552264,589.4066729552264,5242.864444557326
S11,,78.86697954350491,78.8669795435049,78.8669795435049,109.08665739468444,58.348420756847915,58.348420756847915,58.348420756847915,58.348420756847915,58.348420756847915,76.97855566941206,81.22545538680733,81.22545538680733,81.22545538680733,81.22545538680733,81.2254553868073,630.0675975659778,666.4825813591094,666.4825813591094,666.4825813591094,666.4825813591093,666.4825813591094,5083.016036774413
P8,,259.9980054401832,259.9980054401832,259.9980054401832,292.716315437275,146.81041867294016,187.7934538185269,187.7934538185269,187.7934538185269,187.79345381852693,130.02482617540542,188.58721338882745,212.60202510164146,212.60202510164146,212.60202510164152,212.60202510164152,143.0588006475112,215.7599524827307,235.28075361384376,235.28075361384376,235.2807536138438,235.2807536138438,4439.656473261289
Est1,,121.02463018146591,121.02463018146588,121.02463018146588,89.49083223622041,49.82579943087708,139.97966309932937,139.97966309932937,139.97966309932934,139.97966309932937,90.53304991794961,75.53677540134802,123.64334273348942,123.64334273348942,123.64334273348945,123.64334273348942,297.6828477291332,333.6367268495088,516.9072493793324,516.9072493793324,516.9072493793324,516.9072493793324,4421.900942958039
P11,,177.2665231454647,177.2665231454647,177.2665231454647,154.37487226890414,63.77482982571471,309.9184451314889,309.9184451314889,309.9184451314889,309.9184451314889,110.234463460454,52.27844268884995,132.97127679853847,132.9712767985385,132.97127679853847,132.9712767985385,146.75277045604034,133.1228352120792,358.8099183631209,358.80991836312086,358.80991836312086,358.80991836312086,4399.136344521029
S5R,,72.90805211602904,72.90805211602904,72.90805211602904,111.90366659435797,92.91067247643565,92.91067247643565,92.91067247643565,92.91067247643565,92.91067247643565,106.19522057665058,95.36767372631597,95.36767372631597,95.36767372631597,95.36767372631597,95.36767372631597,201.35037833418306,552.8569404936429,552.8569404936428,552.8569404936428,552.8569404936428,552.8569404936428,4343.849855335251
S1,,115.42315732560701,115.42315732560701,115.42315732560701,148.55134040499826,144.15256436629954,144.15256436629952,144.15256436629954,144.15256436629954,144.15256436629954,163.03380258353442,145.73020698428886,145.73020698428886,145.73020698428886,145.73020698428886,145.73020698428886,176.96085520292394,403.97419147490854,403.97419147490854,403.97419147490854,403.97419147490854,403.97419147490854,4304.100284295761
M'da,,150.18845338921042,150.18845338921042,150.18845338921042,287.259740106632,140.23028228174545,140.23028228174545,140.23028228174545,140.23028228174545,140.23028228174545,222.44945877164952,134.78575903383745,134.78575903383742,134.78575903383742,134.78575903383742,134.78575903383742,262.46943981884533,310.9143199820365,310.9143199820365,310.9143199820365,310.91431998203655,310.91431998203655,4152.395805352856
Est2,,122.54803139222388,122.5480313922239,122.54803139222385,101.50073355138443,38.192892295639936,223.55169996139225,223.55169996139225,223.55169996139225,223.55169996139225,87.03687513035193,37.23744351574468,106.58865531293084,106.58865531293084,106.58865531293084,106.58865531293084,291.9562009468947,241.29341274399707,394.0981306011844,394.0981306011844,394.0981306011843,394.0981306011843,4061.8155958627144
S3,,55.68003338974896,55.68003338974896,55.68003338974896,184.7857107303395,173.53856049449243,173.53856049449246,173.53856049449243,173.53856049449246,173.53856049449243,192.3228357952761,151.56294692385205,151.56294692385202,151.56294692385205,151.56294692385202,151.56294692385205,196.44085470750994,304.49123333856323,304.4912333385632,304.4912333385632,304.4912333385632,304.4912333385632,3888.553205186911
S 11,,131.26505349402336,131.26505349402336,131.26505349402333,147.48640494169348,65.52850993302887,214.98050941643208,214.9805094164321,214.9805094164321,214.98050941643208,196.01014818684894,77.983462489265,183.43450250297997,183.43450250297997,183.43450250297997,183.43450250297997,138.92583144066904,123.35425386843214,278.0027062420415,278.0027062420415,278.0027062420415,278.0027062420415,3848.7546439878206
C4R,,56.68237704570695,56.68237704570695,56.68237704570695,158.80533185531314,90.91077581763174,90.91077581763174,90.91077581763174,90.91077581763174,90.91077581763174,143.95307876837037,93.0060958325315,93.0060958325315,93.00609583253151,93.00609583253151,93.00609583253151,364.4591191488948,410.67329098156495,410.67329098156495,410.67329098156495,410.67329098156495,410.67329098156495,3810.215474068341
S3R,,51.50895612930597,51.50895612930597,51.50895612930597,118.76206816637225,126.79191571375229,126.79191571375229,126.79191571375229,126.79191571375229,126.79191571375229,184.10687619996318,156.43982385383157,156.43982385383157,156.43982385383157,156.43982385383157,156.43982385383157,250.51988218060657,336.3429133700022,336.3429133700022,336.3429133700022,336.3429133700022,336.3429133700022,3805.7889596227888
S5,,85.14700582356772,85.14700582356772,85.14700582356772,105.25459062090705,74.24086367297602,74.24086367297602,74.24086367297602,74.24086367297602,74.24086367297602,88.30001296250288,88.10567316238702,88.105673162387,88.105673162387,88.10567316238703,88.10567316238702,117.3428430204743,372.86808246780697,372.8680824678069,372.8680824678069,372.86808246780697,372.8680824678069,3242.411560590437
N2,,90.75259793082444,90.75259793082444,90.75259793082444,215.95545593031943,81.98590385784074,81.98590385784074,81.98590385784074,81.98590385784074,81.98590385784074,200.62038503853591,84.73780005907246,84.73780005907244,84.73780005907246,84.73780005907244,84.73780005907244,250.13979224172562,180.78864907811786,180.78864907811786,180.78864907811786,180.78864907811786,180.78864907811786,2676.53519197821
N3,,69.47435126399023,69.47435126399023,69.47435126399023,175.70227128453868,75.54849510118672,75.5484951011867,75.54849510118672,75.54849510118672,75.54849510118672,164.5472813214231,74.63124364673091,74.63124364673091,74.63124364673091,74.63124364673091,74.63124364673091,182.69340754107304,170.44268081262928,170.44268081262928,170.44268081262928,170.44268081262925,170.44268081262928,2334.4781117417397
S7C,,6.146221085827397,6.146221085827397,6.146221085827397,10.792750761563171,7.566358491210936,7.566358491210936,7.566358491210936,7.566358491210936,7.566358491210936,11.756935505478802,10.501556860363532,10.501556860363532,10.501556860363532,10.501556860363532,10.501556860363532,265.1021496008062,360.6171250353286,360.6171250353286,360.6171250353286,360.6171250353286,360.6171250353286,2199.515701059846
