Name,Nom_couran,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-14,2026-02-15,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-21,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,TOTAL_ha
OULAD SLAMA,,416.06494116303094,516.5189806828877,516.5189806828877,516.5189806828877,516.5189806828877,516.5189806828877,412.0450658173805,591.2399385250914,591.2399385250914,591.2399385250914,591.2399385250914,591.2399385250914,3046.7738981699385,2748.248155234985,2748.248155234985,2748.2481552349855,2748.248155234985,2748.2481552349855,2326.5897742075963,2364.7593584514657,2364.7593584514657,2364.7593584514657,2364.7593584514657,2364.7593584514657,1443.4476476109282,1276.7719877396762,1276.7719877396764,1276.7719877396764,1276.7719877396764,1276.7719877396762,1276.7719877396764,46409.38541787907
SIDI MOHAMED LAHMAR,,520.1065936259193,382.3781739348767,382.3781739348767,382.3781739348767,382.3781739348767,382.3781739348767,962.699862060894,837.7066368624219,837.706636862422,837.706636862422,837.7066368624219,837.7066368624219,3007.569838613724,2285.4171814051615,2285.4171814051615,2285.4171814051615,2285.4171814051615,2285.4171814051615,2359.045189928648,2105.56014584931,2105.56014584931,2105.56014584931,2105.5601458493097,2105.56014584931,1728.8048593125166,1128.159632243736,1128.159632243736,1128.159632243736,1128.159632243736,1128.159632243736,1128.1596322437363,43402.494827262955
AIN DFALI,,1010.0708547949577,301.3343684759043,1056.9319467912023,1056.9319467912023,1056.9319467912023,1056.9319467912023,989.5833413776717,477.58552151351626,1338.5814841006531,1338.5814841006531,1338.5814841006531,1338.5814841006531,1041.4669277133837,478.1300999023317,715.1830216490862,715.1830216490862,715.1830216490862,715.1830216490861,1200.4163482213398,672.3060048535874,1632.2643174327654,1632.2643174327654,1632.2643174327654,1632.2643174327654,2185.1374571367924,887.7537697313854,2303.236238341184,2303.236238341184,2303.236238341184,2303.236238341184,2303.236238341184,39731.80896532161
SIDI AZZOUZ,,539.8555733104392,204.95042241114,907.3341478829778,907.3341478829777,907.3341478829777,907.3341478829777,805.799865842058,956.2509424319513,2180.100707488463,2180.100707488463,2180.100707488463,2180.100707488463,1145.431267722228,769.4588153780827,1524.647028198805,1524.647028198805,1524.647028198805,1524.6470281988047,906.5345727134079,698.023391468087,1165.5869932921166,1165.5869932921169,1165.5869932921164,1165.5869932921164,1309.3479740074727,583.4959468800984,1695.1516777570534,1695.151677757054,1695.1516777570534,1695.1516777570534,1695.1516777570534,39505.582668399664
KCEIBYA,,679.3013923657587,1042.7285747757733,1042.728574775773,1042.728574775773,1042.7285747757733,1042.7285747757733,657.6546838553156,539.0478740582395,539.0478740582396,539.0478740582396,539.0478740582396,539.0478740582396,1000.1596181278125,736.1207445372818,736.1207445372818,736.1207445372817,736.1207445372818,736.1207445372818,1692.9612903156117,1830.6951190388404,1830.69511903884,1830.69511903884,1830.69511903884,1830.6951190388397,3301.509040417624,1879.747268157277,1879.7472681572772,1879.747268157277,1879.7472681572772,1879.747268157277,1879.747268157277,39353.03119607645
LAMRABIH,,768.0165509639846,233.5871303846771,707.3320675719258,707.3320675719259,707.3320675719258,707.3320675719258,1161.7007169851147,606.3085638243313,1277.6180000818108,1277.6180000818108,1277.6180000818113,1277.618000081811,1162.6937492654959,538.1640558138978,934.1216228332999,934.1216228332999,934.1216228332999,934.1216228332999,1234.7145080114985,753.2783309484025,1479.3837119374352,1479.3837119374352,1479.3837119374352,1479.3837119374352,2179.253910406613,903.7732976103181,2090.9114249401614,2090.911424940161,2090.911424940161,2090.9114249401614,2090.9114249401614,37589.86954861303
SOUK TLET EL GHARB,,600.2143754810768,328.9139030169677,328.9139030169677,328.91390301696765,328.9139030169677,328.91390301696765,858.6009861901256,839.3285125506952,839.3285125506952,839.3285125506951,839.3285125506952,839.3285125506952,2725.1186684764907,1960.2969241634592,1960.2969241634592,1960.2969241634592,1960.2969241634592,1960.296924163459,2202.622300179563,1527.4016354568062,1527.4016354568062,1527.4016354568062,1527.4016354568062,1527.4016354568062,1222.6934987976194,532.5552983998617,532.5552983998617,532.5552983998617,532.5552983998617,532.5552983998617,532.5552983998617,34084.28649546369
OULAD NOUEL,,416.2668700416595,130.52426616986443,677.2926712266391,677.2926712266391,677.2926712266391,677.2926712266391,890.8978836942304,515.1102762923537,1384.399244245773,1384.399244245773,1384.399244245773,1384.3992442457727,799.6627205140476,407.13195186534205,896.6417149030618,896.6417149030618,896.6417149030618,896.6417149030618,875.2046212701297,563.2425104208912,1090.9267509158265,1090.9267509158265,1090.9267509158265,1090.9267509158265,1632.410298034381,619.3682012690285,2038.205135790836,2038.205135790836,2038.205135790836,2038.2051357908356,2038.205135790836,33237.88680369131
DAR BEL AMRI,,544.9396241836728,714.519221637406,789.5203386488614,789.5203386488614,789.5203386488613,789.5203386488614,553.3209537229772,440.17466069521436,507.45871159447756,507.45871159447756,507.45871159447756,507.4587115944777,970.0419741441913,476.49386311212277,593.6998273013724,593.6998273013724,593.6998273013724,593.6998273013724,1414.2370654533954,1459.47110412186,1557.6830565670957,1557.6830565670957,1557.6830565670957,1557.6830565670957,2567.72140654918,1143.4472473461556,1314.2253424320477,1314.2253424320477,1314.2253424320477,1314.2253424320477,1314.2253424320477,30648.941569573642
MOULAY ABDELKADER,,548.7858240447639,108.11009546110262,904.8923657269288,904.8923657269286,904.8923657269286,904.8923657269286,345.8139873460357,558.7936730204864,1267.008890506472,1267.008890506472,1267.008890506472,1267.008890506472,491.85629092804567,274.1568564551021,740.0154531747256,740.0154531747256,740.0154531747257,740.0154531747257,563.5423316233197,351.4392099059341,1034.828734011374,1034.828734011374,1034.828734011374,1034.828734011374,1117.8040029138067,373.666205706835,1718.0142462809247,1718.0142462809247,1718.0142462809247,1718.0142462809247,1718.0142462809247,29111.02148248805
